pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.0842002779245376,0.1423458755016327,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.001392537378706,0.0521460436284542,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0014335962478071,0.0793152898550033,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.0075445948168635,0.062134850770235,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.0139215774834156,0.0823072642087936,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.0061679421924054,0.0462626740336418,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.3171541690826416,0.0194100048393011,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.0405555628240108,0.0342306122183799,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.0577377825975418,0.0322936475276947,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0142971212044358,0.0669654756784439,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0169080458581447,0.0521515570580959,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.0207745842635631,0.0676066353917121,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.001116418512538,0.0394352637231349,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0006396777462214,0.0297692008316516,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0004649359034374,0.0379813015460968,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0046895933337509,0.0343476459383964,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.0048286337405443,0.0388499870896339,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.0048254900611937,0.0349899306893348,300.0,50.0,4.0,3,poisson_grid_clean
