pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,experiment,n_seeds,f1_l2_error_mean,f1_l2_error_std,f1_l2_error_min,f1_l2_error_max,f2_pde_residual_mean,f2_pde_residual_std,f2_pde_residual_min,f2_pde_residual_max,f3_data_budget_mean,f3_data_budget_std,f3_data_budget_min,f3_data_budget_max
burgers,nsga2,0.0,0.0,0.6851140701141719,9.92505073619974,265.0,,,,burgers_nsga2_clean,1,0.6743417374175085,0.0,0.6743417374175085,0.6743417374175085,0.0237693693488836,0.0,0.0237693693488836,0.0237693693488836,265.0,0.0,265.0,265.0
burgers,nsga2,0.0,0.0,0.6983527668864573,2.9590313205937644,53.0,,,,burgers_nsga2_clean,1,0.407081079730256,0.0,0.407081079730256,0.407081079730256,0.0284541193395853,0.0,0.0284541193395853,0.0284541193395853,53.0,0.0,53.0,53.0
burgers,nsga2,0.0,0.0,0.7090943473416824,9.635771241838253,87.0,,,,burgers_nsga2_clean,1,0.699587710078603,0.0,0.699587710078603,0.699587710078603,0.0217158459126949,0.0,0.0217158459126949,0.0217158459126949,87.0,0.0,87.0,87.0
burgers,nsga2,0.0,0.0,0.8092794029321263,6.073950964118302,219.0,,,,burgers_nsga2_clean,1,0.5391475657439714,0.0,0.5391475657439714,0.5391475657439714,0.0262385327368974,0.0,0.0262385327368974,0.0262385327368974,219.0,0.0,219.0,219.0
burgers,nsga2,0.0,0.0,1.6212532217170357,6.53671100460481,242.0,,,,burgers_nsga2_clean,1,0.5033068489602556,0.0,0.5033068489602556,0.5033068489602556,0.0392717123031616,0.0,0.0392717123031616,0.0392717123031616,242.0,0.0,242.0,242.0
burgers,nsga2,0.0,0.0,1.6212532217170357,6.7202301818986685,246.0,,,,burgers_nsga2_clean,1,0.4337438396148904,0.0,0.4337438396148904,0.4337438396148904,0.0387090593576431,0.0,0.0387090593576431,0.0387090593576431,246.0,0.0,246.0,246.0
burgers,nsga2,0.0,0.0,2.0198725678469738,8.844612287209246,356.0,,,,burgers_nsga2_clean,1,0.5552054143648254,0.0,0.5552054143648254,0.5552054143648254,0.0360338240861892,0.0,0.0360338240861892,0.0360338240861892,356.0,0.0,356.0,356.0
burgers,nsga2,0.0,0.0,2.0198725678469738,9.040354113880545,210.0,,,,burgers_nsga2_clean,1,0.5670511680731594,0.0,0.5670511680731594,0.5670511680731594,0.0352846272289752,0.0,0.0352846272289752,0.0352846272289752,210.0,0.0,210.0,210.0
burgers,nsga2,0.0,0.0,2.06727389831815,6.529319971128758,50.0,,,,burgers_nsga2_clean,1,0.4722154541514192,0.0,0.4722154541514192,0.4722154541514192,0.0410469099879264,0.0,0.0410469099879264,0.0410469099879264,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,2.9978191934833105,0.6334266628308227,66.0,,,,burgers_nsga2_clean,1,0.3147059077061838,0.0,0.3147059077061838,0.3147059077061838,0.0641916990280151,0.0,0.0641916990280151,0.0641916990280151,66.0,0.0,66.0,66.0
burgers,nsga2,0.0,0.0,3.1117772248272835,5.320964850068389,50.0,,,,burgers_nsga2_clean,1,0.4516210537388041,0.0,0.4516210537388041,0.4516210537388041,0.0252610966563224,0.0,0.0252610966563224,0.0252610966563224,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,6.0400435793865,8.095778476085115,57.0,,,,burgers_nsga2_clean,1,0.3479171510885224,0.0,0.3479171510885224,0.3479171510885224,0.0360261909663677,0.0,0.0360261909663677,0.0360261909663677,57.0,0.0,57.0,57.0
burgers,nsga2,0.0,0.0,6.183791572645537,8.090072116019613,75.0,,,,burgers_nsga2_clean,1,0.5123171625727719,0.0,0.5123171625727719,0.5123171625727719,0.0209947973489761,0.0,0.0209947973489761,0.0209947973489761,75.0,0.0,75.0,75.0
burgers,nsga2,0.0,0.0,6.31426825495793,2.776387719380274,50.0,,,,burgers_nsga2_clean,1,0.2610557861527954,0.0,0.2610557861527954,0.2610557861527954,0.0370161794126033,0.0,0.0370161794126033,0.0370161794126033,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,6.3181440939154205,2.776387719380274,50.0,,,,burgers_nsga2_clean,1,0.3185046221511383,0.0,0.3185046221511383,0.3185046221511383,0.0287176519632339,0.0,0.0287176519632339,0.0287176519632339,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,7.941527125288574,6.438936693234134,55.0,,,,burgers_nsga2_clean,1,0.3808062994880505,0.0,0.3808062994880505,0.3808062994880505,0.0538892857730388,0.0,0.0538892857730388,0.0538892857730388,55.0,0.0,55.0,55.0
burgers,nsga2,0.0,0.0,8.060535033246406,6.601459157321276,70.0,,,,burgers_nsga2_clean,1,0.3027650186900104,0.0,0.3027650186900104,0.3027650186900104,0.07286137342453,0.0,0.07286137342453,0.07286137342453,70.0,0.0,70.0,70.0
burgers,nsga2,0.0,0.0,8.173116512468587,2.929165989757077,51.0,,,,burgers_nsga2_clean,1,0.3001137349681048,0.0,0.3001137349681048,0.3001137349681048,0.0337631478905677,0.0,0.0337631478905677,0.0337631478905677,51.0,0.0,51.0,51.0
