pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson2d,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.5036958456039429,0.14882050454616547,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.5814953446388245,0.1327926516532898,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.46205034852027893,0.11806788295507431,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.323654890060425,0.20390591025352478,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.437244415283203,0.17904464900493622,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.1128571033477783,0.2068592756986618,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.1416170597076416,0.12066653370857239,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.09957971423864365,0.1281525045633316,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.1211383268237114,0.16090849041938782,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.17411842942237854,0.16546417772769928,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.14947225153446198,0.13507874310016632,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.156919926404953,0.18465274572372437,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.3367592692375183,0.10874233394861221,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.38962382078170776,0.11832751333713531,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.44821345806121826,0.1297026127576828,300.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.035518746823072433,0.1999509483575821,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.04220857471227646,0.2038457840681076,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.033981870859861374,0.2565583884716034,300.0,50.0,4.0,3
